#{"t_start": 1648178860.4584625, "env_id": null}
r,l,t
12.0,10,47590.620419
9.0,11,47637.321377
0.0,20,47718.831163
10.0,10,47760.440758
11.0,9,47799.811176
-8.0,20,47866.888572
5.0,14,47925.978184
8.0,10,47968.544656
9.0,11,48011.865908
10.0,10,48054.945822
8.0,10,48097.630811
7.0,13,48151.679538
7.0,14,48197.94666
8.0,12,48246.249669
11.0,9,48284.029721
11.0,9,48323.225105
-17.5,20,48373.366113
-1.5,20,48442.92881
9.0,13,48486.599597
10.0,11,48529.944582
12.0,9,48569.700708
10.0,9,48608.837344
-1.5,20,48682.599107
10.0,11,48725.248482
11.0,10,48768.525701
12.0,8,48804.042331
-3.0,20,48871.97957
10.0,11,48917.606201
2.0,18,48989.522797
10.0,10,49032.545246
7.0,11,49080.150028
4.0,15,49140.983396
13.0,9,49180.331805
8.0,12,49222.911195
8.0,11,49265.8633
-4.0,20,49335.750618
8.0,14,49389.624031
12.0,8,49424.487718
10.0,8,49460.12319
7.0,12,49499.512876
9.0,11,49538.206299
9.0,10,49579.559754
11.0,8,49614.617226
5.0,16,49675.715206
8.0,11,49709.866921
8.0,12,49759.110714
7.0,12,49808.613604
-1.5,20,49880.750151
9.0,11,49926.31396
9.0,10,49968.015255
9.0,10,50010.254826
11.0,8,50045.176068
11.0,8,50080.318287
10.0,10,50122.414543
11.0,10,50164.622391
11.0,9,50203.438021
10.0,10,50241.922613
4.5,11,50283.815918
10.0,10,50326.205111
8.0,12,50368.375376
9.0,11,50410.819128
10.0,10,50453.082047
9.0,11,50491.904359
1.0,20,50560.031775
-3.5,20,50636.706597
8.0,12,50682.687279
9.0,11,50724.51679
9.0,10,50766.736971
11.0,10,50809.517215
10.0,10,50852.047269
7.0,13,50901.558161
10.0,10,50943.554809
9.0,11,50985.827023
9.0,10,51028.236968
8.0,11,51071.141343
7.0,13,51117.658877
8.0,11,51162.94574
6.0,15,51209.664888
0.0,20,51286.135663
10.0,10,51325.095278
10.0,9,51360.123086
5.0,15,51423.049105
9.0,10,51464.207854
9.0,10,51506.34851
8.0,12,51552.463948
7.0,16,51617.486899
-0.5,20,51696.645225
2.0,18,51766.105358
7.0,13,51819.221453
10.0,8,51853.231238
11.0,10,51895.444726
9.0,10,51937.707717
9.0,12,51987.034052
3.0,17,52049.372941
-1.5,20,52117.073087
10.0,10,52159.540359
-4.5,20,52196.167744
10.5,8,52231.872995
11.0,9,52270.753182
11.0,9,52309.286451
11.0,9,52347.564156
5.0,15,52408.657814
6.0,15,52466.948874
-1.5,20,52531.920535
10.0,8,52567.344864
8.0,12,52613.621522
-6.5,20,52668.60659
8.0,10,52710.965515
-1.5,20,52781.20408
9.0,10,52824.682678
10.0,10,52867.819513
10.0,9,52903.624982
10.0,11,52947.226782
8.0,12,52986.815445
-2.5,20,53057.910352
1.0,20,53109.797538
-1.5,20,53175.761406
